Australian,Airline,InFlights,OutFlights,Year
Brisbane,China Airlines,12.0,12.0,2010
Brisbane,China Eastern Airlines,6.0,5.0,2010
Brisbane,Emirates,83.0,81.0,2010
Brisbane,Etihad Airways,12.0,12.0,2010
Brisbane,Eva Air,13.0,13.0,2010
Brisbane,JALWays,28.0,28.0,2010
Brisbane,Jetstar,54.0,53.0,2010
Brisbane,Korean Air,20.0,20.0,2010
Brisbane,Malaysia Airlines,20.0,20.0,2010
Brisbane,Nauru Airlines,4.0,4.0,2010
Brisbane,Qantas Airways,134.0,133.0,2010
Brisbane,Royal Brunei Airlines,40.0,40.0,2010
Brisbane,Singapore Airlines,76.0,76.0,2010
Brisbane,Solomon Airlines,12.0,12.0,2010
Brisbane,Thai Airways International,40.0,40.0,2010
Brisbane,V Australia,20.0,20.0,2010
Brisbane,Virgin Australia,195.0,196.0,2010
Brisbane,Virgin Samoa,3.0,3.0,2010
Cairns,Air New Zealand,12.0,12.0,2010
Cairns,Air Niugini,48.0,48.0,2010
Cairns,Airlines PNG,23.0,23.0,2010
Cairns,Cathay Pacific Airways,24.0,24.0,2010
Cairns,Continental Micronesia,16.0,16.0,2010
Cairns,Jetstar,56.0,56.0,2010
Cairns,Qantas Airways,6.0,0.0,2010
Darwin,Jetstar,99.0,98.0,2010
Gold Coast,Air New Zealand,20.0,20.0,2010
Gold Coast,AirAsia X,28.0,27.0,2010
Gold Coast,Jetstar,90.0,89.0,2010
Gold Coast,Virgin Australia,28.0,28.0,2010
Melbourne,Air China,20.0,20.0,2010
Melbourne,Air Mauritius,4.0,4.0,2010
Melbourne,Air New Zealand,138.0,138.0,2010
Melbourne,Fiji Airways,12.0,12.0,2010
Melbourne,Air Vanuatu,1.0,2.0,2010
Melbourne,AirAsia X,55.0,56.0,2010
Melbourne,Cathay Pacific Airways,84.0,84.0,2010
Melbourne,China Eastern Airlines,29.0,28.0,2010
Melbourne,China Southern Airlines,12.0,12.0,2010
Melbourne,Emirates,111.0,112.0,2010
Melbourne,Etihad Airways,28.0,28.0,2010
Melbourne,Garuda Indonesia,28.0,28.0,2010
Melbourne,Jetstar,82.0,84.0,2010
Melbourne,Korean Air,12.0,12.0,2010
Melbourne,Malaysia Airlines,56.0,56.0,2010
Melbourne,Philippine Airlines,28.0,28.0,2010
Melbourne,Qantas Airways,200.0,198.0,2010
Melbourne,Qatar Airways,28.0,28.0,2010
Melbourne,Singapore Airlines,84.0,84.0,2010
Melbourne,Thai Airways International,56.0,56.0,2010
Melbourne,United Airlines,28.0,28.0,2010
Melbourne,V Australia,12.0,12.0,2010
Melbourne,Vietnam Airlines,16.0,16.0,2010
Melbourne,Virgin Australia,74.0,74.0,2010
Norfolk Island,Air New Zealand,4.0,4.0,2010
Perth,Air Mauritius,4.0,4.0,2010
Perth,Air New Zealand,24.0,24.0,2010
Perth,AirAsia X,28.0,28.0,2010
Perth,Cathay Pacific Airways,28.0,29.0,2010
Perth,Emirates,56.0,56.0,2010
Perth,Garuda Indonesia,84.0,84.0,2010
Perth,Indonesia AirAsia,56.0,56.0,2010
Perth,Jetstar,62.0,63.0,2010
Perth,Malaysia Airlines,34.0,34.0,2010
Perth,Qantas Airways,78.0,78.0,2010
Perth,Royal Brunei Airlines,20.0,20.0,2010
Perth,Singapore Airlines,68.0,68.0,2010
Perth,South African Airways,24.0,24.0,2010
Perth,Thai Airways International,28.0,28.0,2010
Perth,Tigerair,28.0,28.0,2010
Perth,Virgin Australia,35.0,35.0,2010
Sydney,Aerolineas Argentinas,20.0,20.0,2010
Sydney,Air Austral,8.0,8.0,2010
Sydney,Air Caledonie,20.0,20.0,2010
Sydney,Air Canada,27.0,27.0,2010
Sydney,Air China,36.0,36.0,2010
Sydney,Air New Zealand,239.0,239.0,2010
Sydney,Air Niugini,8.0,8.0,2010
Sydney,Fiji Airways,28.0,28.0,2010
Sydney,Air Vanuatu,24.0,24.0,2010
Sydney,Asiana Airlines,28.0,28.0,2010
Sydney,British Airways,56.0,56.0,2010
Sydney,Cathay Pacific Airways,112.0,112.0,2010
Sydney,China Airlines,27.0,27.0,2010
Sydney,China Eastern Airlines,32.0,32.0,2010
Sydney,China Southern Airlines,28.0,28.0,2010
Sydney,Delta Air Lines,28.0,28.0,2010
Sydney,Emirates,140.0,140.0,2010
Sydney,Etihad Airways,44.0,44.0,2010
Sydney,Garuda Indonesia,28.0,28.0,2010
Sydney,Hawaiian Airlines,12.0,12.0,2010
Sydney,JALWays,28.0,28.0,2010
Sydney,Jetstar,151.0,158.0,2010
Sydney,Korean Air,28.0,28.0,2010
Sydney,LATAM Airlines,22.0,24.0,2010
Sydney,Malaysia Airlines,48.0,48.0,2010
Sydney,Philippine Airlines,28.0,28.0,2010
Sydney,Qantas Airways,581.0,584.0,2010
Sydney,Singapore Airlines,112.0,112.0,2010
Sydney,Thai Airways International,84.0,84.0,2010
Sydney,United Airlines,56.0,55.0,2010
Sydney,V Australia,42.0,42.0,2010
Sydney,Vietnam Airlines,16.0,16.0,2010
Sydney,Virgin Atlantic Airways,28.0,28.0,2010
Sydney,Virgin Australia,112.0,112.0,2010
Sydney,Virgin Samoa,12.0,12.0,2010
Adelaide,Air New Zealand,18.0,18.0,2010
Adelaide,Cathay Pacific Airways,31.0,31.0,2010
Adelaide,Malaysia Airlines,18.0,17.0,2010
Adelaide,Qantas Airways,13.0,13.0,2010
Adelaide,Singapore Airlines,31.0,31.0,2010
Adelaide,Virgin Australia,19.0,20.0,2010
Brisbane,Air Caledonie,8.0,8.0,2010
Brisbane,Air New Zealand,129.0,129.0,2010
Brisbane,Air Niugini,39.0,40.0,2010
Brisbane,Fiji Airways,31.0,31.0,2010
Brisbane,Air Vanuatu,10.0,10.0,2010
Brisbane,Cathay Pacific Airways,43.0,44.0,2010
Brisbane,China Airlines,12.0,12.0,2010
Brisbane,Emirates,93.0,93.0,2010
Brisbane,Etihad Airways,13.0,13.0,2010
Brisbane,Eva Air,13.0,13.0,2010
Brisbane,JALWays,31.0,31.0,2010
Brisbane,Jetstar,61.0,61.0,2010
Brisbane,Korean Air,14.0,14.0,2010
Brisbane,Malaysia Airlines,23.0,23.0,2010
Brisbane,Nauru Airlines,5.0,4.0,2010
Brisbane,Philippine Airlines,5.0,5.0,2010
Brisbane,Qantas Airways,146.0,143.0,2010
Brisbane,Royal Brunei Airlines,41.0,42.0,2010
Brisbane,Singapore Airlines,84.0,84.0,2010
Brisbane,Solomon Airlines,13.0,13.0,2010
Brisbane,Thai Airways International,45.0,45.0,2010
Brisbane,V Australia,21.0,22.0,2010
Brisbane,Virgin Australia,220.0,218.0,2010
Brisbane,Virgin Samoa,4.0,4.0,2010
Cairns,Air New Zealand,13.0,13.0,2010
Cairns,Air Niugini,53.0,53.0,2010
Cairns,Airlines PNG,27.0,27.0,2010
Cairns,Cathay Pacific Airways,26.0,26.0,2010
Cairns,Continental Micronesia,24.0,24.0,2010
Cairns,Jetstar,61.0,62.0,2010
Cairns,Virgin Australia,3.0,3.0,2010
Darwin,Jetstar,107.0,107.0,2010
Gold Coast,Air New Zealand,22.0,22.0,2010
Gold Coast,AirAsia X,31.0,31.0,2010
Gold Coast,Jetstar,103.0,103.0,2010
Gold Coast,Virgin Australia,31.0,31.0,2010
Melbourne,Air China,17.0,17.0,2010
Melbourne,Air Mauritius,4.0,4.0,2010
Melbourne,Air New Zealand,152.0,151.0,2010
Melbourne,Fiji Airways,15.0,15.0,2010
Melbourne,AirAsia X,51.0,51.0,2010
Melbourne,Cathay Pacific Airways,93.0,93.0,2010
Melbourne,China Eastern Airlines,18.0,18.0,2010
Melbourne,China Southern Airlines,13.0,13.0,2010
Melbourne,Emirates,124.0,124.0,2010
Melbourne,Etihad Airways,31.0,31.0,2010
Melbourne,Garuda Indonesia,30.0,30.0,2010
Melbourne,Jetstar,86.0,93.0,2010
Melbourne,Korean Air,13.0,13.0,2010
Melbourne,Malaysia Airlines,62.0,62.0,2010
Melbourne,Philippine Airlines,27.0,27.0,2010
Melbourne,Qantas Airways,216.0,217.0,2010
Melbourne,Qatar Airways,31.0,31.0,2010
Melbourne,Singapore Airlines,93.0,93.0,2010
Melbourne,Thai Airways International,62.0,61.0,2010
Melbourne,United Airlines,31.0,31.0,2010
Melbourne,V Australia,20.0,19.0,2010
Melbourne,Vietnam Airlines,17.0,17.0,2010
Melbourne,Virgin Australia,87.0,84.0,2010
Norfolk Island,Air New Zealand,4.0,4.0,2010
Perth,Air Mauritius,5.0,5.0,2010
Perth,Air New Zealand,27.0,27.0,2010
Perth,AirAsia X,31.0,31.0,2010
Perth,Cathay Pacific Airways,31.0,30.0,2010
Perth,Emirates,62.0,62.0,2010
Perth,Garuda Indonesia,90.0,90.0,2010
Perth,Indonesia AirAsia,59.0,59.0,2010
Perth,Jetstar,69.0,70.0,2010
Perth,Malaysia Airlines,35.0,35.0,2010
Perth,Qantas Airways,83.0,84.0,2010
Perth,Royal Brunei Airlines,22.0,22.0,2010
Perth,Singapore Airlines,75.0,75.0,2010
Perth,South African Airways,25.0,25.0,2010
Perth,Thai Airways International,32.0,31.0,2010
Perth,Tigerair,31.0,31.0,2010
Perth,Virgin Australia,39.0,39.0,2010
Sydney,Aerolineas Argentinas,18.0,18.0,2010
Sydney,Air Austral,9.0,9.0,2010
Sydney,Air Caledonie,23.0,22.0,2010
Sydney,Air Canada,31.0,31.0,2010
Sydney,Air China,32.0,32.0,2010
Sydney,Air New Zealand,262.0,261.0,2010
Sydney,Air Niugini,7.0,9.0,2010
Sydney,Fiji Airways,31.0,31.0,2010
Sydney,Air Vanuatu,26.0,26.0,2010
Sydney,Asiana Airlines,31.0,31.0,2010
Sydney,British Airways,34.0,34.0,2010
Sydney,Cathay Pacific Airways,121.0,121.0,2010
Sydney,China Airlines,26.0,26.0,2010
Sydney,China Eastern Airlines,21.0,21.0,2010
Sydney,China Southern Airlines,31.0,31.0,2010
Sydney,Delta Air Lines,31.0,31.0,2010
Sydney,Emirates,155.0,154.0,2010
Sydney,Etihad Airways,48.0,48.0,2010
Sydney,Garuda Indonesia,30.0,30.0,2010
Sydney,Hawaiian Airlines,13.0,13.0,2010
Sydney,JALWays,31.0,31.0,2010
Sydney,Jetstar,173.0,177.0,2010
Sydney,Korean Air,31.0,31.0,2010
Sydney,LATAM Airlines,23.0,21.0,2010
Sydney,Malaysia Airlines,53.0,52.0,2010
Sydney,Philippine Airlines,27.0,27.0,2010
Sydney,Qantas Airways,635.0,636.0,2010
Sydney,Singapore Airlines,124.0,124.0,2010
Sydney,Thai Airways International,93.0,93.0,2010
Sydney,United Airlines,62.0,62.0,2010
Sydney,V Australia,51.0,51.0,2010
Sydney,Vietnam Airlines,17.0,18.0,2010
Sydney,Virgin Atlantic Airways,31.0,31.0,2010
Sydney,Virgin Australia,123.0,124.0,2010
Sydney,Virgin Samoa,13.0,13.0,2010
Adelaide,Air New Zealand,21.0,21.0,2010
Adelaide,Cathay Pacific Airways,30.0,30.0,2010
Adelaide,Malaysia Airlines,17.0,17.0,2010
Adelaide,Qantas Airways,13.0,13.0,2010
Adelaide,Singapore Airlines,30.0,30.0,2010
Adelaide,Virgin Australia,22.0,22.0,2010
Brisbane,Air Caledonie,9.0,9.0,2010
Brisbane,Air New Zealand,149.0,149.0,2010
Brisbane,Air Niugini,39.0,34.0,2010
Brisbane,Fiji Airways,30.0,30.0,2010
Brisbane,Air Vanuatu,13.0,13.0,2010
Brisbane,Cathay Pacific Airways,43.0,43.0,2010
Brisbane,China Airlines,13.0,13.0,2010
Brisbane,Emirates,90.0,90.0,2010
Brisbane,Etihad Airways,13.0,13.0,2010
Brisbane,Eva Air,13.0,13.0,2010
Brisbane,JALWays,30.0,30.0,2010
Brisbane,Jetstar,59.0,57.0,2010
Brisbane,Korean Air,13.0,13.0,2010
Brisbane,Malaysia Airlines,30.0,30.0,2010
Brisbane,Nauru Airlines,4.0,4.0,2010
Brisbane,Philippine Airlines,9.0,9.0,2010
Brisbane,Qantas Airways,142.0,142.0,2010
Brisbane,Royal Brunei Airlines,26.0,26.0,2010
Brisbane,Singapore Airlines,81.0,81.0,2010
Brisbane,Solomon Airlines,13.0,13.0,2010
Brisbane,Thai Airways International,42.0,42.0,2010
Brisbane,V Australia,22.0,22.0,2010
Brisbane,Virgin Australia,219.0,220.0,2010
Brisbane,Virgin Samoa,2.0,2.0,2010
Cairns,Air New Zealand,13.0,13.0,2010
Cairns,Air Niugini,52.0,51.0,2010
Cairns,Airlines PNG,26.0,26.0,2010
Cairns,Cathay Pacific Airways,26.0,26.0,2010
Cairns,Continental Micronesia,19.0,20.0,2010
Cairns,Jetstar,65.0,70.0,2010
Cairns,Virgin Australia,9.0,9.0,2010
Darwin,Jetstar,99.0,99.0,2010
Darwin,Qantas Airways,0.0,1.0,2010
Gold Coast,Air New Zealand,30.0,30.0,2010
Gold Coast,AirAsia X,30.0,30.0,2010
Gold Coast,Jetstar,84.0,84.0,2010
Gold Coast,Virgin Australia,30.0,30.0,2010
Melbourne,Air China,17.0,17.0,2010
Melbourne,Air Mauritius,4.0,4.0,2010
Melbourne,Air New Zealand,127.0,126.0,2010
Melbourne,Fiji Airways,15.0,15.0,2010
Melbourne,AirAsia X,30.0,30.0,2010
Melbourne,Cathay Pacific Airways,90.0,90.0,2010
Melbourne,China Eastern Airlines,12.0,12.0,2010
Melbourne,China Southern Airlines,13.0,13.0,2010
Melbourne,Emirates,120.0,120.0,2010
Melbourne,Etihad Airways,29.0,29.0,2010
Melbourne,Garuda Indonesia,30.0,30.0,2010
Melbourne,Jetstar,85.0,90.0,2010
Melbourne,Korean Air,13.0,13.0,2010
