Australian,Airline,InFlights,OutFlights,Year
Darwin,Jetstar,99,98,2010
Gold Coast,Air New Zealand,20,20,2010
Gold Coast,AirAsia X,28,27,2010
Gold Coast,Jetstar,90,89,2010
Gold Coast,Virgin Australia,28,28,2010
Melbourne,Air China,20,20,2010
Melbourne,Air Mauritius,4,4,2010
Melbourne,Air New Zealand,138,138,2010
Melbourne,Fiji Airways,12,12,2010
Melbourne,Air Vanuatu,1,2,2010
Melbourne,AirAsia X,55,56,2010
Melbourne,Cathay Pacific Airways,84,84,2010
Melbourne,China Eastern Airlines,29,28,2010
Melbourne,China Southern Airlines,12,12,2010
Melbourne,Emirates,111,112,2010
Melbourne,Etihad Airways,28,28,2010
Melbourne,Garuda Indonesia,28,28,2010
Melbourne,Jetstar,82,84,2010
Melbourne,Korean Air,12,12,2010
Melbourne,Malaysia Airlines,56,56,2010
Melbourne,Philippine Airlines,28,28,2010
Melbourne,Qantas Airways,200,198,2010
Melbourne,Qatar Airways,28,28,2010
Melbourne,Singapore Airlines,84,84,2010
Melbourne,Thai Airways International,56,56,2010
Melbourne,United Airlines,28,28,2010
Melbourne,V Australia,12,12,2010
Melbourne,Vietnam Airlines,16,16,2010
Melbourne,Virgin Australia,74,74,2010
Norfolk Island,Air New Zealand,4,4,2010
Perth,Air Mauritius,4,4,2010
Perth,Air New Zealand,24,24,2010
Perth,AirAsia X,28,28,2010
Perth,Cathay Pacific Airways,28,29,2010
Perth,Emirates,56,56,2010
Perth,Garuda Indonesia,84,84,2010
Perth,Indonesia AirAsia,56,56,2010
Perth,Jetstar,62,63,2010
Perth,Malaysia Airlines,34,34,2010
Perth,Qantas Airways,78,78,2010
Perth,Royal Brunei Airlines,20,20,2010
Perth,Singapore Airlines,68,68,2010
Perth,South African Airways,24,24,2010
Perth,Thai Airways International,28,28,2010
Perth,Tigerair,28,28,2010
Perth,Virgin Australia,35,35,2010
Sydney,Aerolineas Argentinas,20,20,2010
Sydney,Air Austral,8,8,2010
Sydney,Air Caledonie,20,20,2010
Sydney,Air Canada,27,27,2010
Sydney,Air China,36,36,2010
Sydney,Air New Zealand,239,239,2010
Sydney,Air Niugini,8,8,2010
Sydney,Fiji Airways,28,28,2010
Sydney,Air Vanuatu,24,24,2010
Sydney,Asiana Airlines,28,28,2010
Sydney,British Airways,56,56,2010
Sydney,Cathay Pacific Airways,112,112,2010
Sydney,China Airlines,27,27,2010
Sydney,China Eastern Airlines,32,32,2010
Sydney,China Southern Airlines,28,28,2010
Sydney,Delta Air Lines,28,28,2010
Sydney,Emirates,140,140,2010
Sydney,Etihad Airways,44,44,2010
Sydney,Garuda Indonesia,28,28,2010
Sydney,Hawaiian Airlines,12,12,2010
Sydney,JALWays,28,28,2010
Sydney,Jetstar,151,158,2010
Sydney,Korean Air,28,28,2010
Sydney,LATAM Airlines,22,24,2010
Sydney,Malaysia Airlines,48,48,2010
Sydney,Philippine Airlines,28,28,2010
Sydney,Qantas Airways,581,584,2010
Sydney,Singapore Airlines,112,112,2010
Sydney,Thai Airways International,84,84,2010
Sydney,United Airlines,56,55,2010
Sydney,V Australia,42,42,2010
Sydney,Vietnam Airlines,16,16,2010
Sydney,Virgin Atlantic Airways,28,28,2010
Sydney,Virgin Australia,112,112,2010
Sydney,Virgin Samoa,12,12,2010
Adelaide,Air New Zealand,18,18,2010
Adelaide,Cathay Pacific Airways,31,31,2010
Adelaide,Malaysia Airlines,18,17,2010
Adelaide,Qantas Airways,13,13,2010
Adelaide,Singapore Airlines,31,31,2010
Adelaide,Virgin Australia,19,20,2010
Brisbane,Air Caledonie,8,8,2010
Brisbane,Air New Zealand,129,129,2010
Brisbane,Air Niugini,39,40,2010
Brisbane,Fiji Airways,31,31,2010
Brisbane,Air Vanuatu,10,10,2010
Brisbane,Cathay Pacific Airways,43,44,2010
Brisbane,China Airlines,12,12,2010
Brisbane,Emirates,93,93,2010
Brisbane,Etihad Airways,13,13,2010
Brisbane,Eva Air,13,13,2010
Brisbane,JALWays,31,31,2010
Brisbane,Jetstar,61,61,2010
Brisbane,Korean Air,14,14,2010
Brisbane,Malaysia Airlines,23,23,2010
Brisbane,Nauru Airlines,5,4,2010
Brisbane,Philippine Airlines,5,5,2010
Brisbane,Qantas Airways,146,143,2010
Brisbane,Royal Brunei Airlines,41,42,2010
Brisbane,Singapore Airlines,84,84,2010
Brisbane,Solomon Airlines,13,13,2010
Brisbane,Thai Airways International,45,45,2010
Brisbane,V Australia,21,22,2010
Brisbane,Virgin Australia,220,218,2010
Brisbane,Virgin Samoa,4,4,2010
Cairns,Air New Zealand,13,13,2010
Cairns,Air Niugini,53,53,2010
Cairns,Airlines PNG,27,27,2010
Cairns,Cathay Pacific Airways,26,26,2010
Cairns,Continental Micronesia,24,24,2010
Cairns,Jetstar,61,62,2010
Cairns,Virgin Australia,3,3,2010
Darwin,Jetstar,107,107,2010
Gold Coast,Air New Zealand,22,22,2010
Gold Coast,AirAsia X,31,31,2010
Gold Coast,Jetstar,103,103,2010
Gold Coast,Virgin Australia,31,31,2010
Melbourne,Air China,17,17,2010
Melbourne,Air Mauritius,4,4,2010
Melbourne,Air New Zealand,152,151,2010
Melbourne,Fiji Airways,15,15,2010
Melbourne,AirAsia X,51,51,2010
Melbourne,Cathay Pacific Airways,93,93,2010
Melbourne,China Eastern Airlines,18,18,2010
Melbourne,China Southern Airlines,13,13,2010
Melbourne,Emirates,124,124,2010
Melbourne,Etihad Airways,31,31,2010
Melbourne,Garuda Indonesia,30,30,2010
Melbourne,Jetstar,86,93,2010
Melbourne,Korean Air,13,13,2010
Melbourne,Malaysia Airlines,62,62,2010
Melbourne,Philippine Airlines,27,27,2010
Melbourne,Qantas Airways,216,217,2010
Melbourne,Qatar Airways,31,31,2010
Melbourne,Singapore Airlines,93,93,2010
Melbourne,Thai Airways International,62,61,2010
Melbourne,United Airlines,31,31,2010
Melbourne,V Australia,20,19,2010
Melbourne,Vietnam Airlines,17,17,2010
Melbourne,Virgin Australia,87,84,2010
Norfolk Island,Air New Zealand,4,4,2010
Perth,Air Mauritius,5,5,2010
Perth,Air New Zealand,27,27,2010
Perth,AirAsia X,31,31,2010
Perth,Cathay Pacific Airways,31,30,2010
Perth,Emirates,62,62,2010
Perth,Garuda Indonesia,90,90,2010
Perth,Indonesia AirAsia,59,59,2010
Perth,Jetstar,69,70,2010
Perth,Malaysia Airlines,35,35,2010
Perth,Qantas Airways,83,84,2010
Perth,Royal Brunei Airlines,22,22,2010
Perth,Singapore Airlines,75,75,2010
Perth,South African Airways,25,25,2010
Perth,Thai Airways International,32,31,2010
Perth,Tigerair,31,31,2010
Perth,Virgin Australia,39,39,2010
Sydney,Aerolineas Argentinas,18,18,2010
Sydney,Air Austral,9,9,2010
Sydney,Air Caledonie,23,22,2010
Sydney,Air Canada,31,31,2010
Sydney,Air China,32,32,2010
Sydney,Air New Zealand,262,261,2010
Sydney,Air Niugini,7,9,2010
Sydney,Fiji Airways,31,31,2010
Sydney,Air Vanuatu,26,26,2010
Sydney,Asiana Airlines,31,31,2010
Sydney,British Airways,34,34,2010
